IRIS;P20_POP;P20_POP0014;P20_POP1529;P20_POP3044;P20_POP4559;P20_POP6074;P20_POP75P
350470104;7228.821417;1435.968369;1663.504659;1558.077761;1462.780529;590.9235305;517.5665688
352100101;6527.4895;1471.833593;1432.7341;1403.668893;1266.99683;637.6198317;314.6362521
350510105;701.729853;153.7840824;90.32063004;139.9540872;129.6428428;136.8200501;51.2081605
352380306;2633.47705;400.4730856;704.1407615;537.2357984;558.1458304;296.7693878;136.7121862
350510203;1456.856281;174.3266333;217.6808465;138.7284343;361.7169358;457.2124409;107.1909907
350470103;1869.88221;283.341753;356.9221332;324.5522116;459.6771877;372.8676066;72.52131767
353340102;1972.028051;365.1665127;220.7538015;354.9735995;356.6367774;438.1894364;236.3079239
350470102;2530.534715;435.7758303;392.9820598;362.2624868;492.8818206;413.9768471;432.6556702
353520101;2552;384;490;457;460;420;341
350510104;82.08358846;8.586509934;20.01533169;6.48792085;27.2885252;16.30311304;3.402187751
352380102;1500.264806;112.6957631;858.5481749;194.7417321;161.5505223;119.2775647;53.45104861
350510204;2236.844855;300.4040748;256.2572823;267.1180837;439.3444535;544.867074;428.853887
352810201;6564.424706;1493.963195;1569.095741;1569.69451;1204.44608;466.2973136;260.927867
351960101;3386.228104;529.2665882;678.4283649;558.239121;722.026695;467.0022799;431.2650555
350010101;2543.256521;471.2904142;333.2582046;466.0637416;491.0841739;541.5234471;240.0365393
352400103;4536.912871;930.0336727;1015.041564;938.8009842;944.9574266;500.7722307;207.3069925
352780101;5217.419863;1093.348715;1052.743748;982.9811212;1122.786016;620.0989455;345.4613167
352100103;1820.003442;348.862551;361.3841433;245.6067309;569.8887406;226.2341229;68.02715285
352380308;8.000002328;1.000000291;1.000000291;5.000001455;1.000000291;0;0
352380704;167.607856;16.51087592;32.12149464;27.79405646;47.05247004;33.42861533;10.70034358
352380806;3110.766714;451.0394694;865.8432494;576.4837209;648.780153;336.6428632;231.9772584
352381201;1975.940895;375.5560746;536.12413;375.4858211;400.1091373;204.3041372;84.36159498
352381105;1578.968977;412.6622033;394.5027951;257.0665841;199.5771919;223.5612021;91.5989999
352380702;2750.697225;370.1740373;891.0645281;485.0418337;432.6408836;287.2770675;284.4988749
352380209;3571.880006;462.6039805;1216.042782;933.3117198;539.8166062;296.1213242;123.9835931
352380506;1713.226445;240.1013752;211.9556787;253.1328756;292.9200978;421.6718051;293.4446121
352380605;3379.708813;16.25347851;3252.971883;87.4834444;18.00000524;5.000001455;0
